variante,epoch,train_loss,val_loss,pixel_error_px
sin_aug,1,0.13511142898350953,0.05929456241428852,135.0217544555664
sin_aug,2,0.030925153219141067,0.020494641549885274,124.86127166748047
sin_aug,3,0.010292335483245551,0.010383597668260336,101.3504508972168
sin_aug,4,0.005762997374404222,0.006976892007514834,109.8464340209961
sin_aug,5,0.004054997919593006,0.005527054332196713,88.31196060180665
sin_aug,6,0.003199740609852597,0.003908700658939779,94.53109283447266
sin_aug,7,0.00272141476161778,0.002681656274944544,112.55457916259766
sin_aug,8,0.0024193757213652133,0.002332394663244486,117.78028869628906
con_aug,1,0.1350827227346599,0.06226380690932274,121.08556671142578
con_aug,2,0.03073110324330628,0.021132777072489263,109.1812255859375
con_aug,3,0.010226997744757682,0.010094795655459166,114.28463592529297
con_aug,4,0.0057324818568304185,0.006564950849860906,110.42216110229492
con_aug,5,0.004050559399183839,0.005706731276586652,102.86810150146485
con_aug,6,0.0031587780569680033,0.0037402139510959386,85.53413009643555
con_aug,7,0.002701723697828129,0.002687222301028669,91.6743881225586
con_aug,8,0.0023914570570923387,0.002848377590999007,89.16994171142578
